(title "Axial Velocity")
(labels "Position" "Axial Velocity")

((xy/key/label "zd45")
0.718599	-0.00163365
0.731295	-0.00167358
0.744176	-0.00170702
0.757242	-0.00173423
0.770498	-0.00175544
0.783945	-0.00177089
0.797587	-0.00178082
0.811427	-0.00178545
0.825467	-0.00178499
0.83971	-0.00177967
0.854159	-0.00176969
0.868818	-0.00175525
0.883688	-0.00173656
0.898774	-0.00171379
0.914078	-0.00168713
0.929604	-0.00165675
0.945354	-0.00162282
0.961333	-0.00158551
0.977542	-0.00154497
0.993987	-0.00150135
1.01067	-0.0014548
1.02759	-0.00140549
1.04476	-0.00135357
1.06218	-0.00129923
1.07985	-0.00124271
1.09777	-0.00118433
1.11596	-0.00112454
1.1344	-0.001064
1.15312	-0.00100373
1.1721	-0.000945162
1.19136	-0.000890225
1.2109	-0.000841033
1.23073	-0.00079929
1.25083	-0.000765597
1.27123	-0.000739205
1.29193	-0.000718466
1.31292	-0.000701572
1.33422	-0.000687066
1.35583	-0.000673968
1.37775	-0.000661695
1.39999	-0.00064992
1.42254	-0.000638466
1.44543	-0.000627242
1.46865	-0.000616199
1.4922	-0.000605313
1.51609	-0.000594571
1.54033	-0.000583967
1.56492	-0.0005735
1.58987	-0.000563167
1.61517	-0.000552969
1.64085	-0.000542907
1.66689	-0.000532979
1.69331	-0.000523188
1.72012	-0.000513532
1.74731	-0.000504013
1.77489	-0.000494629
1.80288	-0.000485382
1.83127	-0.00047627
1.86007	-0.000467293
1.88929	-0.000458451
1.91893	-0.000449744
1.949	-0.000441169
1.9795	-0.000432727
2.01045	-0.000424416
2.04184	-0.000416235
2.07369	-0.000408184
2.106	-0.000400261
2.13878	-0.000392465
2.17203	-0.000384795
2.20576	-0.000377248
2.23998	-0.000369825
2.2747	-0.000362522
2.30992	-0.00035534
2.34565	-0.000348276
2.38189	-0.000341329
2.41866	-0.000334497
2.45597	-0.000327778
2.49381	-0.000321172
2.5322	-0.000314676
2.57114	-0.000308289
2.61065	-0.000302009
2.65074	-0.000295834
2.6914	-0.000289764
2.73265	-0.000283796
2.77449	-0.000277928
2.81695	-0.00027216
2.86001	-0.00026649
2.90371	-0.000260915
2.94803	-0.000255435
2.99299	-0.000250047
3.03861	-0.000244751
3.08488	-0.000239545
3.13183	-0.000234427
3.17945	-0.000229396
3.22777	-0.00022445
3.27678	-0.000219589
3.3265	-0.00021481
3.37695	-0.000210112
3.42812	-0.000205493
3.48003	-0.000200954
3.5327	-0.000196491
3.58612	-0.000192104
3.64032	-0.000187792
3.69531	-0.000183552
3.75109	-0.000179385
3.80768	-0.000175289
3.86508	-0.000171262
3.92332	-0.000167303
3.9824	-0.000163412
4.04234	-0.000159587
4.10314	-0.000155827
4.16482	-0.00015213
4.2274	-0.000148496
4.29088	-0.000144924
4.35528	-0.000141413
4.42061	-0.00013796
4.48689	-0.000134567
4.55413	-0.000131231
4.62234	-0.000127951
4.69154	-0.000124727
4.76174	-0.000121557
4.83295	-0.000118441
4.9052	-0.000115377
4.97849	-0.000112365
5.05285	-0.000109404
5.12828	-0.000106491
5.2048	-0.000103628
5.28242	-0.000100812
5.36118	-9.80434e-05
5.44107	-9.53184e-05
5.52212	-9.26407e-05
5.60434	-9.00022e-05
5.68775	-8.74111e-05
5.77237	-8.48534e-05
5.85821	-8.23445e-05
5.9453	-7.98603e-05
6.03364	-7.74288e-05
6.12327	-7.50082e-05
6.21419	-7.26476e-05
6.30643	-7.02737e-05
6.4	-6.79677e-05
)

((xy/key/label "zd25")
6.4	-6.38212e-05
6.30643	-6.68376e-05
6.21419	-7.07423e-05
6.12327	-7.59034e-05
6.03364	-8.26157e-05
5.9453	-9.09376e-05
5.85821	-0.000100651
5.77237	-0.000111363
5.68775	-0.000122657
5.60434	-0.000134194
5.52212	-0.000145735
5.44107	-0.000157126
5.36118	-0.000168269
5.28242	-0.000179104
5.2048	-0.000189595
5.12828	-0.000199718
5.05285	-0.000209459
4.97849	-0.000218809
4.9052	-0.000227761
4.83295	-0.000236309
4.76174	-0.000244449
4.69154	-0.000252176
4.62234	-0.000259484
4.55413	-0.000266369
4.48689	-0.000272824
4.42061	-0.000278843
4.35528	-0.000284419
4.29088	-0.000289545
4.2274	-0.000294213
4.16482	-0.000298413
4.10314	-0.000302137
4.04234	-0.000305374
3.9824	-0.000308116
3.92332	-0.000310351
3.86508	-0.000312069
3.80768	-0.000313258
3.75109	-0.000313905
3.69531	-0.000313999
3.64032	-0.000313526
3.58612	-0.000312474
3.5327	-0.000310827
3.48003	-0.000308571
3.42812	-0.00030569
3.37695	-0.000302167
3.3265	-0.000297983
3.27678	-0.000293118
3.22777	-0.000287548
3.17945	-0.00028125
3.13183	-0.000274195
3.08488	-0.000266358
3.03861	-0.000257708
2.99299	-0.000248222
2.94803	-0.000237877
2.90371	-0.00022666
2.86001	-0.000214563
2.81695	-0.000201585
2.77449	-0.000187733
2.73265	-0.000173018
2.6914	-0.00015746
2.65074	-0.000141092
2.61065	-0.000123955
2.57114	-0.000106111
2.5322	-8.76318e-05
2.49381	-6.86069e-05
2.45597	-4.91358e-05
2.41866	-2.9327e-05
2.38189	-9.29388e-06
2.34565	1.08483e-05
2.30992	3.0986e-05
2.2747	5.10105e-05
2.23998	7.08206e-05
2.20576	9.03267e-05
2.17203	0.000109454
2.13878	0.000128148
2.106	0.000146382
2.07369	0.00016417
2.04184	0.00018159
2.01045	0.000198819
1.9795	0.000216204
1.949	0.000234376
1.91893	0.000254459
1.88929	0.000278394
1.86007	0.000309434
1.83127	0.000352736
1.80288	0.000415871
1.77489	0.00050884
1.74731	0.000643243
1.72012	0.000830612
1.69331	0.00108062
1.66689	0.00139994
1.64085	0.00179207
1.61517	0.00225797
1.58987	0.00279691
1.56492	0.00340721
1.54033	0.00408678
1.51609	0.00483338
1.4922	0.0056448
1.46865	0.00651894
1.44543	0.0074538
1.42254	0.00844752
1.39999	0.00949831
1.37775	0.0106045
1.35583	0.0117645
1.33422	0.0129766
1.31292	0.0142394
1.29193	0.0155514
1.27123	0.016911
1.25083	0.0183167
1.23073	0.0197671
1.2109	0.0212606
1.19136	0.0227958
1.1721	0.0243711
1.15312	0.025985
1.1344	0.027636
1.11596	0.0293224
1.09777	0.0310427
1.07985	0.0327953
1.06218	0.0345786
1.04476	0.036391
1.02759	0.0382308
1.01067	0.0400965
0.993987	0.0419863
0.977542	0.0438986
0.961333	0.0458319
0.945354	0.0477844
0.929604	0.0497545
0.914078	0.0517406
0.898774	0.053741
0.883688	0.0557541
0.868818	0.0577783
0.854159	0.059812
0.83971	0.0618536
0.825467	0.0639016
0.811427	0.0659543
0.797587	0.0680104
0.783945	0.0700682
0.770498	0.0721264
0.757242	0.0741834
0.744176	0.0762379
0.731295	0.0782884
0.718599	0.0803336
0.706084	0.0823722
0.693747	0.0844029
0.681587	0.0864244
0.669599	0.0884355
0.657783	0.0904351
0.646136	0.0924219
0.634654	0.0943949
0.623337	0.0963531
0.612181	0.0982953
0.601184	0.100221
0.590344	0.102128
0.579658	0.104017
0.569125	0.105886
0.558743	0.107735
0.548508	0.109563
0.53842	0.111368
0.528475	0.113151
0.518673	0.114911
0.50901	0.116647
0.499485	0.118359
0.490096	0.120045
0.480841	0.121707
0.471718	0.123342
0.462725	0.124951
0.45386	0.126533
0.445122	0.128089
0.436509	0.129617
0.428018	0.131117
0.419649	0.13259
0.411399	0.134035
0.403266	0.135452
0.39525	0.136841
0.387348	0.138201
0.379559	0.139533
0.371881	0.140837
0.364312	0.142112
0.356852	0.143359
0.349498	0.144578
0.342249	0.145769
0.335103	0.146931
0.328059	0.148066
0.321116	0.149173
0.314271	0.150253
0.307525	0.151305
0.300875	0.15233
0.294319	0.153328
0.287857	0.1543
0.281487	0.155245
0.275209	0.156164
0.269019	0.157058
0.262918	0.157926
0.256905	0.158769
0.250976	0.159587
0.245133	0.160382
0.239373	0.161152
0.233695	0.161898
0.228098	0.162622
0.222581	0.163322
0.217142	0.164
0.211781	0.164657
0.206497	0.165291
0.201288	0.165904
0.196154	0.166497
0.191092	0.167069
0.186103	0.167622
0.181185	0.168155
0.176337	0.168668
0.171559	0.169164
0.166848	0.16964
0.162205	0.1701
0.157628	0.170541
