(title "Axial Velocity")
(labels "Position" "Axial Velocity")

((xy/key/label "line-10-m")
6	-9.11035e-05
5.91189	-8.61708e-05
5.68192	-7.07028e-05
5.46087	-5.34901e-05
5.24838	-3.50232e-05
5.04412	-1.58148e-05
4.84778	3.64678e-06
4.65904	2.29635e-05
4.47762	4.18248e-05
4.30322	5.99889e-05
4.13558	7.72459e-05
3.97444	9.33955e-05
3.81954	0.000108268
3.67064	0.000122099
3.58245	0.000131299
3.52751	0.00013704
3.38993	0.000162853
3.25768	0.000228149
3.13055	0.000393853
3.00835	0.000739659
2.89088	0.00132355
2.77796	0.00216059
2.66942	0.00323665
2.56508	0.00452984
2.46479	0.00601938
2.36838	0.007687
2.27571	0.00951627
2.18663	0.0114919
2.101	0.0135992
2.01868	0.0158237
1.93956	0.0181514
1.8635	0.020568
1.79039	0.0230598
1.72011	0.0256129
1.65256	0.0282139
1.58762	0.0308499
1.5252	0.0335081
1.46519	0.0361765
1.40751	0.0388437
1.35207	0.0414989
1.29877	0.0441319
1.24754	0.0467335
1.1983	0.0492952
1.15096	0.0518092
1.10545	0.0542687
1.06171	0.0566678
1.01967	0.059001
0.97925	0.0612641
0.940399	0.0634534
0.903053	0.0655659
0.867155	0.0675994
0.832647	0.0695523
0.799476	0.0714236
0.76759	0.073213
0.73694	0.0749204
0.707477	0.0765465
0.679155	0.0780923
0.651931	0.079559
0.625762	0.0809484
0.600607	0.0822622
0.576426	0.0835028
0.553183	0.0846723
0.53084	0.0857733
0.509362	0.0868084
0.488717	0.0877803
0.468871	0.0886917
0.449795	0.0895453
0.431457	0.0903439
0.41383	0.0910903
0.396886	0.0917871
0.380599	0.0924371
0.364942	0.0930428
0.349893	0.0936068
0.335426	0.0941314
0.32152	0.0946191
0.308152	0.095072
0.295303	0.0954925
0.282951	0.0958825
0.271078	0.096244
0.259665	0.0965789
0.248694	0.096889
0.238148	0.0971759
0.228011	0.0974412
0.218266	0.0976864
0.2089	0.0979129
0.199896	0.0981221
0.19124	0.0983152
0.182921	0.0984933
0.174923	0.0986575
0.167236	0.0988088
0.159846	0.0989482
0.152743	0.0990766
0.145914	0.0991947
0.139351	0.0993033
0.133041	0.0994033
0.126976	0.0994951
0.121147	0.0995795
0.115543	0.099657
0.110156	0.0997281
0.104978	0.0997933
0.1	0.0998531
0.0967277	0.0998909
0.0927105	0.0999355
0.0877722	0.0999879
0.0816933	0.100049
0.0741997	0.100117
0.0649491	0.100193
0.053513	0.100273
0.0393543	0.100351
0.021799	0.100414
1.22465e-15	0.100441
)

((xy/key/label "line-11-m")
6	-4.36321e-05
5.91189	-3.7559e-05
5.68192	-2.01308e-05
5.46087	-2.2268e-06
5.24838	1.57268e-05
5.04412	3.34058e-05
4.84778	5.0565e-05
4.65904	6.7011e-05
4.47762	8.25675e-05
4.30322	9.7062e-05
4.13558	0.000110393
3.97444	0.000123093
3.81954	0.000138466
3.67064	0.000169334
3.52751	0.000249724
3.38993	0.000443093
3.27493	0.000771223
3.25768	0.000820591
3.13055	0.00142308
3.00835	0.00225388
2.89088	0.00329689
2.77796	0.00453196
2.66942	0.00594087
2.56508	0.00750747
2.46479	0.00921712
2.36838	0.011056
2.27571	0.0130108
2.18663	0.0150684
2.101	0.0172158
2.01868	0.0194402
1.93956	0.021729
1.8635	0.0240697
1.79039	0.0264501
1.72011	0.0288584
1.65256	0.0312834
1.58762	0.033714
1.5252	0.0361402
1.46519	0.0385522
1.40751	0.0409411
1.35207	0.0432987
1.29877	0.0456174
1.24754	0.0478905
1.1983	0.050112
1.15096	0.0522767
1.10545	0.0543801
1.06171	0.0564184
1.01967	0.0583884
0.97925	0.0602878
0.940399	0.0621146
0.903053	0.0638678
0.867155	0.0655466
0.832647	0.0671507
0.799476	0.0686804
0.76759	0.0701364
0.73694	0.0715196
0.707477	0.0728314
0.679155	0.0740734
0.651931	0.0752474
0.625762	0.0763553
0.600607	0.0773994
0.576426	0.0783821
0.553183	0.0793055
0.53084	0.0801723
0.509362	0.080985
0.488717	0.0817459
0.468871	0.0824577
0.449795	0.0831228
0.431457	0.0837437
0.41383	0.0843228
0.396886	0.0848623
0.380599	0.0853646
0.364942	0.0858319
0.349893	0.0862663
0.335426	0.0866698
0.32152	0.0870444
0.308152	0.0873918
0.295303	0.0877139
0.282951	0.0880123
0.271078	0.0882886
0.259665	0.0885444
0.248694	0.0887809
0.238148	0.0889996
0.228011	0.0892017
0.218266	0.0893883
0.2089	0.0895606
0.199896	0.0897196
0.19124	0.0898663
0.182921	0.0900015
0.174923	0.0901261
0.167236	0.0902409
0.159846	0.0903465
0.152743	0.0904438
0.145914	0.0905333
0.139351	0.0906156
0.133041	0.0906913
0.126977	0.0907608
0.121147	0.0908246
0.115543	0.0908833
0.110156	0.090937
0.104978	0.0909864
0.1	0.0910316
0.0967937	0.0910596
0.0928451	0.0910928
0.0879753	0.0911319
0.081961	0.0911773
0.0745223	0.0912291
0.0653083	0.0912865
0.0538784	0.0913472
0.039679	0.0914065
0.0220125	0.0914552
1.34711e-15	0.0914754
)

((xy/key/label "line-12-m")
6	-4.46665e-06
5.91189	1.65996e-06
5.68192	1.82656e-05
5.46087	3.45518e-05
5.24838	5.03098e-05
5.04412	6.53725e-05
4.84778	7.95864e-05
4.65904	9.27973e-05
4.47762	0.000104942
4.30322	0.000116685
4.13558	0.000131748
3.97444	0.000163756
3.81954	0.000247163
3.67064	0.000442512
3.52751	0.000813104
3.38993	0.00139163
3.25768	0.00217835
3.13055	0.00315784
3.00835	0.00431176
2.89088	0.00562365
2.865	0.00595713
